benchmark	status	exit	wall_s	init_fmax	best_fmax	improvement	cost_usd	run_dir
amd_mini-isp_2025.1	FAIL	2	1	-	-	-	-	dcp_optimizer_run-20260802_040938
boom_soc_2025.1	FAIL	2	1	-	-	-	-	dcp_optimizer_run-20260802_040938
boom_soc_2025.1_v2	FAIL	2	0	-	-	-	-	dcp_optimizer_run-20260802_040938
corescore_500_mod_2025.1	FAIL	2	1	-	-	-	-	dcp_optimizer_run-20260802_040938
finn_radioml_2025.1	FAIL	2	1	-	-	-	-	dcp_optimizer_run-20260802_040938
fir_systolic_transposed_routed_2025.1	FAIL	2	1	-	-	-	-	dcp_optimizer_run-20260802_040938
ispd16_example2_2025.1	FAIL	2	0	-	-	-	-	dcp_optimizer_run-20260802_040938
logicnets_jscl_2025.1	FAIL	2	1	-	-	-	-	dcp_optimizer_run-20260802_040938
rosetta_3d-rendering_2025.1	FAIL	2	1	-	-	-	-	dcp_optimizer_run-20260802_040938
rosetta_digit-recognition_2025.1	FAIL	2	0	-	-	-	-	dcp_optimizer_run-20260802_040938
rosetta_optical-flow_2025.1	FAIL	2	1	-	-	-	-	dcp_optimizer_run-20260802_040938
rosetta_spam-filter_2025.1	FAIL	2	1	-	-	-	-	dcp_optimizer_run-20260802_040938
vexriscv_re-place_2025.1	FAIL	2	0	-	-	-	-	dcp_optimizer_run-20260802_040938
vexriscv_re-place_v2_2025.1	FAIL	2	1	-	-	-	-	dcp_optimizer_run-20260802_040938
vtr_mcml_2025.1	FAIL	2	1	-	-	-	-	dcp_optimizer_run-20260802_040938
vtr_mcml_2025.1_v2	FAIL	2	0	-	-	-	-	dcp_optimizer_run-20260802_040938
